# z-score heatmap data: Fig 3A
Domain Name,Assay Name,T Cell Type,K562 Condition,Z-score,Internal name for measurement z-score,Adjusted P-value
NTB-A,IL2,CD4,pos,2.63043506911025,pct_pos,0.00852756577552238
NTB-A,IFNy,CD4,pos,2.54063433719069,pct_pos,0.0110651576583901
NTB-A,IL2,CD8,pos,1.06193625702387,pct_pos,0.288264623884809
NTB-A,IFNy,CD8,pos,2.08241176558622,pct_pos,0.0373048746786659
NKG2D,IL2,CD4,pos,-1.47141720263448,pct_pos,0.141178323980765
NKG2D,IFNy,CD4,pos,-0.298434979730064,pct_pos,0.765371194740912
NKG2D,IL2,CD8,pos,-0.623514676200444,pct_pos,0.532946360962346
NKG2D,IFNy,CD8,pos,-1.30773457199141,pct_pos,0.190963352875192
PD1,IL2,CD4,pos,-0.304758395256375,pct_pos,0.760550170780404
PD1,IFNy,CD4,pos,-0.298727740693963,pct_pos,0.76514778897794
PD1,IL2,CD8,pos,0.454903988760596,pct_pos,0.649178313171348
PD1,IFNy,CD8,pos,0.609436829506728,pct_pos,0.542234932302782
Siglec-3,IL2,CD4,pos,-0.798261755858897,pct_pos,0.424718606513156
Siglec-3,IFNy,CD4,pos,0.201965632116074,pct_pos,0.839943592090864
Siglec-3,IL2,CD8,pos,-0.373418186134617,pct_pos,0.708837226231418
Siglec-3,IFNy,CD8,pos,0.0270867489803036,pct_pos,0.978390543666012
TACI,IL2,CD4,pos,3.42918449159514,pct_pos,0.000605397853878077
TACI,IFNy,CD4,pos,2.70441054688225,pct_pos,0.00684256902980913
TACI,IL2,CD8,pos,4.26305147133426,pct_pos,2.01654045122026e-05
TACI,IFNy,CD8,pos,2.8555086036375,pct_pos,0.00429679586841276
TIGIT,IL2,CD4,pos,-0.344864703248429,pct_pos,0.730196087280133
TIGIT,IFNy,CD4,pos,-0.0718688146128384,pct_pos,0.942706308185114
TIGIT,IL2,CD8,pos,-0.502858252709155,pct_pos,0.615063934274437
TIGIT,IFNy,CD8,pos,-0.467219558153022,pct_pos,0.640342802033959
CD2,IL2,CD4,pos,1.16540584253867,pct_pos,0.24385475346211
ILT2,IL2,CD4,pos,-1.05572412710535,pct_pos,0.291094270897801
ILT3,IL2,CD4,pos,-3.12854179087685,pct_pos,0.0017567602700253
TLT-1,IL2,CD4,pos,-0.330943605057573,pct_pos,0.74068708396344
GITR,IL2,CD4,pos,0.283610077168142,pct_pos,0.776709213629261
CD30,IL2,CD4,pos,0.395993801645872,pct_pos,0.69210960083927
CD2,IFNy,CD4,pos,0.412762631639475,pct_pos,0.679780532160143
ILT3,IFNy,CD4,pos,0.0997746742468815,pct_pos,0.920523214723264
TLT-1,IFNy,CD4,pos,-0.887751423732375,pct_pos,0.37467447781795
GITR,IFNy,CD4,pos,0.697699035233875,pct_pos,0.485365431642261
CD30,IFNy,CD4,pos,-0.0759297830752028,pct_pos,0.939474961781915
4-1BB,CD69,CD4,pos,0.267259247906785,rlog_car_score,0.789269561302752
4-1BB,CD69,CD8,pos,0.880506211181719,rlog_car_score,0.378585141893334
BAFF-R,CD69,CD4,pos,0.856855770010342,rlog_car_score,0.391524599410898
BAFF-R,CD69,CD8,pos,1.15739212536906,rlog_car_score,0.247112189844974
BCMA,CD69,CD4,pos,0.618449416753454,rlog_car_score,0.536279131660142
BCMA,CD69,CD8,pos,-0.23138755675502,rlog_car_score,0.817013731166508
BTLA,CD69,CD4,pos,-1.35089082575959,rlog_car_score,0.176730407466797
BTLA,CD69,CD8,pos,0.482683304195305,rlog_car_score,0.629320619683033
CD2,CD69,CD4,pos,1.67171659568927,rlog_car_score,0.0945802200455143
CD2,CD69,CD8,pos,0.497393129730662,rlog_car_score,0.618911849435205
CD200R,CD69,CD4,pos,1.56665924262827,rlog_car_score,0.117194362309778
CD200R,CD69,CD8,pos,0.440339688716589,rlog_car_score,0.65969109944404
CD244,CD69,CD4,pos,0.097527699790645,rlog_car_score,0.922307337826583
CD244,CD69,CD8,pos,-0.944417713843584,rlog_car_score,0.344956232966598
CD28,CD69,CD4,pos,1.24131583234758,rlog_car_score,0.214489098212348
CD28,CD69,CD8,pos,1.13257572573806,rlog_car_score,0.257392467223565
CD300a,CD69,CD4,pos,-1.09341544274782,rlog_car_score,0.274211436256674
CD300a,CD69,CD8,pos,-1.33062713938403,rlog_car_score,0.183311727937262
CD300f,CD69,CD4,pos,-0.620906281553062,rlog_car_score,0.534661287917685
CD300f,CD69,CD8,pos,0.223964738668869,rlog_car_score,0.822784740756802
CD40,CD69,CD4,pos,-0.164492377982438,rlog_car_score,0.869343546512272
CD40,CD69,CD8,pos,0.123703041850765,rlog_car_score,0.90155040311394
CD7,CD69,CD4,pos,1.04774055686981,rlog_car_score,0.294758156334281
CD7,CD69,CD8,pos,0.391056089555743,rlog_car_score,0.695755776782728
CD72,CD69,CD4,pos,-1.58065676006806,rlog_car_score,0.113956540134371
CD72,CD69,CD8,pos,-0.48924849986725,rlog_car_score,0.624665776793565
CD96,CD69,CD4,pos,-0.398187681564394,rlog_car_score,0.690491845527316
CD96,CD69,CD8,pos,-0.521476975133759,rlog_car_score,0.602034541130396
CRACC,CD69,CD4,pos,0.436274728765403,rlog_car_score,0.662637414857668
CRACC,CD69,CD8,pos,0.504020092407494,rlog_car_score,0.614247257754692
CRTAM,CD69,CD4,pos,0.0348467772136285,rlog_car_score,0.97220192043952
CRTAM,CD69,CD8,pos,-0.181241532036806,rlog_car_score,0.856177996525714
CTLA4,CD69,CD4,pos,0.616256161610419,rlog_car_score,0.537725467132561
CTLA4,CD69,CD8,pos,1.2228491029448,rlog_car_score,0.22138669532657
CXADR,CD69,CD4,pos,0.94781843852803,rlog_car_score,0.343221892093169
CXADR,CD69,CD8,pos,1.06177774904981,rlog_car_score,0.28833659345559
